News Type,Headlines,URLS,Article
State News,"Tagovailoa stretchered off field with head, neck injuries",/news/state/tagovailoa-stretchered-off-field-with-head-neck-injuries/article_fc8d2bb1-482d-562e-bc85-9c34c7ef78bf.html
News,Hochul plan would ban sale of gas-powered cars in 2035,/news/hochul-plan-would-ban-sale-of-gas-powered-cars-in-2035/article_96c722ba-4068-11ed-a1b9-7707d5b05070.html
State News,Convicted Vegas bombmaker was on the lam for four days,/news/state/convicted-vegas-bombmaker-was-on-the-lam-for-four-days/article_e13bc5e8-817b-581c-b34b-8744e54475a4.html
State News,2 rock climbers found dead in Southern California,/news/state/2-rock-climbers-found-dead-in-southern-california/article_864fa7ef-e97f-51a2-ab1c-ba69844ebcfa.html
State News,Study finds that climate change added 10% to Ian's rainfall,/news/state/study-finds-that-climate-change-added-10-to-ians-rainfall/article_021c25a3-0978-5e72-a688-6b335732fb72.html
Local News,Norwich man charged with attempted murder,/news/local_news/norwich-man-charged-with-attempted-murder/article_38624d0c-3f6a-11ed-a9e7-af4dd2f7143b.html
Local News,Sheriff names suspect in animal abuse case,/news/local_news/sheriff-names-suspect-in-animal-abuse-case/article_c1a9609a-3f5c-11ed-b5a7-abd22059a706.html
Local News,Woman arrested for animal cruelty,/news/local_news/woman-arrested-for-animal-cruelty/article_2e34f5b8-3b7e-11ed-9cee-5796df42ab5c.html
Local News,George Takei to speak at SUNY Oneonta,/news/local_news/george-takei-to-speak-at-suny-oneonta/article_c0c035f4-3b7a-11ed-bf2b-3fcfde3d01ad.html
Local News,Otego woman dies in crash,/news/local_news/otego-woman-dies-in-crash/article_944d784a-39a6-11ed-8602-2b7ef4267e87.html
High School Sports,Oneonta girls notch 5-1 Senior Night win,/sports/high_school_sports/oneonta-girls-notch-5-1-senior-night-win/article_b7632e0c-4062-11ed-9308-d30ba9a74324.html
High School Sports,Laurens/Milford boys blank Richfield Springs 1-0,/sports/high_school_sports/laurens-milford-boys-blank-richfield-springs-1-0/article_99802e94-4062-11ed-a80f-bf8e4f923710.html
Local Sports,"Sports Datebook: Sept. 30-Oct. 3, 2022",/sports/local_sports/sports-datebook-sept-30-oct-3-2022/article_5bdf3f3e-4059-11ed-bc11-4fe587c0a4f1.html
High School Sports,Big first half helps Oneonta boys top Susquehanna Valley 6-2,/sports/high_school_sports/big-first-half-helps-oneonta-boys-top-susquehanna-valley-6-2/article_ef9c9dd2-3f98-11ed-95d2-d7e5dca09d05.html
Local Sports,"Sports Datebook: Sept. 29 and 30, 2022",/sports/local_sports/sports-datebook-sept-29-and-30-2022/article_0079d72a-3f92-11ed-9a20-2b3a2cf9626a.html
Local Sports,Area Sports Briefs,/sports/local_sports/area-sports-briefs/article_a82474f6-3ed1-11ed-a5ac-2303bc3ecd8b.html
High School Sports,"Oneonta volleyball sweeps Norwich; Delhi, UV also win",/sports/high_school_sports/oneonta-volleyball-sweeps-norwich-delhi-uv-also-win/article_6438f25e-3ed0-11ed-ba5f-cb919e529c15.html
Local Sports,Unadilla National 2022,/sports/local_sports/unadilla-national-2022/collection_da56349c-1cf7-11ed-9d96-efa66c6d5797.html
News,Week in Review: March 29-April 2. 2022,/gallery/news/week-in-review-march-29-april-2-2022/collection_360ae10a-b1f2-11ec-9bcb-7306a521c3f8.html
